"","HHMMSS","PARi","Photo"
"292","09:57:07",4.680073261,0.190592513
"293","09:57:13",4.676706791,0.187776761
"294","09:57:18",4.713583946,0.151507775
"295","09:57:24",4.714067936,0.120704234
"296","09:57:29",4.705046177,0.052715549
"297","09:57:35",4.685644627,0.047432665
"298","09:57:40",4.695795536,0.098334094
"299","09:57:46",4.684646606,0.214651372
"300","09:57:51",4.693371773,0.23302817
"301","09:57:57",4.705067635,0.224593282
"302","09:58:02",4.699023724,0.225873366
"303","09:58:08",4.69060564,0.240312097
"304","09:58:13",4.68245697,0.204156521
"305","09:58:19",4.689319611,0.201694454
"306","09:58:24",4.695445538,0.212205476
"307","09:58:30",4.672787189,0.199432634
"308","09:58:35",4.650972366,0.193631667
"309","09:58:41",4.659254074,0.194287394
"310","09:58:46",4.682320118,0.187305765
"311","09:58:52",4.68930006,0.175297202
"312","09:58:57",4.665351868,0.233281577
"313","09:59:02",4.620963097,0.288659637
"314","09:59:08",4.627120495,0.248172073
"315","09:59:13",4.613573551,0.185365855
"316","09:59:19",4.585439682,0.143737226
"317","09:59:24",4.580488205,0.132542621
"318","09:59:30",4.591697693,0.108083946
"319","09:59:35",4.601449013,0.133357554
"320","09:59:41",4.626538277,0.168193514
"321","09:59:46",4.636927128,0.1852227
"322","09:59:52",4.658604622,0.185184645
"323","09:59:57",4.671938896,0.209748498
"324","10:00:03",4.700020313,0.235805068
"325","10:00:08",4.716576099,0.169399064
"326","10:00:14",4.711137772,0.11929242
"327","10:00:19",4.709197521,0.10666044
"328","10:00:25",4.710149288,0.07317664
"329","10:00:30",4.686844826,0.018384536
"330","10:00:36",4.675074577,-0.02389989
"331","10:00:41",4.667196751,-0.014099159
"332","10:00:46",4.677223682,-0.050068224
"333","10:00:52",4.686900616,-0.034027448
"334","10:00:57",4.701725483,0.021316203
"335","10:01:03",4.668333054,0.078761134
"336","10:01:08",4.651076794,0.083897813
"337","10:01:13",4.616461754,0.033590798
"338","10:01:19",4.598351479,-0.010558609
"339","10:01:24",4.599699974,0.001659671
"340","10:01:30",4.611669064,0.062344861
"341","10:01:35",4.607633114,0.12179859
"342","10:01:41",4.608260155,0.167542336
"343","10:01:46",4.613654137,0.171916684
"344","10:01:52",4.603460789,0.143905909
"345","10:01:57",4.612859249,0.144671206
"346","10:02:03",4.634954453,0.157814198
"347","10:02:08",4.642428875,0.140430241
"348","10:02:14",4.634815216,0.131383298
"349","10:02:19",4.624069691,0.121972667
"350","10:02:25",4.644633293,0.127742165
"351","10:02:30",4.661997318,0.109380104
"352","10:02:36",4.643891335,0.123013123
"353","10:02:41",4.624232769,0.125665971
"354","10:02:46",4.629062176,0.118589292
"355","10:02:52",4.649121761,0.127860087
"356","10:02:57",4.640789032,0.109795297
"357","10:03:03",4.615871429,0.12810479
"358","10:03:08",4.580189705,0.136543395
"359","10:03:14",4.569368839,0.18000743
"360","10:03:19",4.58084631,0.210510065
"361","10:03:25",4.622990131,0.228101074
"362","10:03:30",4.63440752,0.205644111
"363","10:03:36",4.612874508,0.140342388
"364","10:03:41",4.617555618,0.127275769
"365","10:03:47",4.644330025,0.176301745
"366","10:03:52",4.66356945,0.220771247
"367","10:03:58",4.685232162,0.209057257
"368","10:04:03",4.689255238,0.173102224
"369","10:04:09",4.689795494,0.182498699
"370","10:04:14",4.708863258,0.204260702
"371","10:04:20",4.722218037,0.207529375
"372","10:04:25",4.712137222,0.216482525
"373","10:04:30",4.700164795,0.211347
"374","10:04:36",4.68537426,0.185592326
"375","10:04:41",4.666502476,0.142965934
"376","10:04:47",4.653220654,0.144837007
"377","10:04:52",4.626685143,0.176445218
"378","10:04:58",4.661923885,0.195314076
"379","10:05:03",4.715512753,0.183467718
"380","10:05:09",4.745197296,0.144492308
"381","10:05:14",4.717246532,0.096652546
"382","10:05:20",4.658189774,0.092390984
"383","10:05:25",4.624596596,0.103995148
"384","10:05:31",4.595286369,0.139682109
"385","10:05:36",4.589902878,0.095697989
"386","10:05:42",4.588763714,0.091800326
"387","10:05:47",4.600389004,0.105942168
"388","10:05:52",4.608275414,0.171456843
"389","10:05:58",4.611297607,0.123254936
"390","10:06:03",4.617257118,0.110193741
"391","10:06:09",4.615434647,0.088893181
"392","10:06:14",4.599428654,0.187379518
"393","10:06:19",4.604273796,0.240611741
"394","10:06:25",4.624799728,0.299000677
"395","10:06:30",4.658371449,0.225784982
"396","10:06:36",4.668845177,0.200091038
