"unique_ID","Date","Time","Temp"
"6B2","2016-07-25","15:29:28",14.325
"6B2","2016-07-25","21:29:28",14.9
"6B2","2016-07-26","03:29:28",14.709
"6B2","2016-07-26","09:29:28",14.325
"6B2","2016-07-26","15:29:28",14.613
"6B2","2016-07-26","21:29:28",14.709
"6B2","2016-07-27","03:29:28",14.23
"6B2","2016-07-27","09:29:28",13.846
"6B2","2016-07-27","15:29:28",14.23
"6B2","2016-07-27","21:29:28",14.421
"6B2","2016-07-28","03:29:28",14.134
"6B2","2016-07-28","09:29:28",13.75
"6B2","2016-07-28","15:29:28",13.846
"6B2","2016-07-28","21:29:28",13.942
"6B2","2016-07-29","03:29:28",13.365
"6B2","2016-07-29","09:29:28",12.883
"6B2","2016-07-29","15:29:28",13.365
"6B2","2016-07-29","21:29:28",13.846
"6B2","2016-07-30","03:29:28",13.558
"6B2","2016-07-30","09:29:28",13.269
"6B2","2016-07-30","15:29:28",13.461
"6B2","2016-07-30","21:29:28",13.461
"6B2","2016-07-31","03:29:28",13.173
"6B2","2016-07-31","09:29:28",12.883
"6B2","2016-07-31","15:29:28",12.883
"6B2","2016-07-31","21:29:28",13.076
"6B2","2016-08-01","03:29:28",12.69
"6B2","2016-08-01","09:29:28",12.207
"6B2","2016-08-01","15:29:28",12.497
"6B2","2016-08-01","21:29:28",12.787
"6B2","2016-08-02","03:29:28",12.594
"6B2","2016-08-02","09:29:28",12.304
"6B2","2016-08-02","14:26:27",NA
"6B2","2016-08-02","14:26:32",NA
"6B1","2016-06-01","03:29:01",10.651
"6B1","2016-06-01","09:29:01",10.357
"6B1","2016-06-01","15:29:01",10.651
"6B1","2016-06-01","21:29:01",11.431
"6B1","2016-06-02","03:29:01",10.357
"6B1","2016-06-02","09:29:01",10.161
"6B1","2016-06-02","15:29:01",10.651
"6B1","2016-06-02","21:29:01",11.334
"6B1","2016-06-03","03:29:01",9.965
"6B1","2016-06-03","09:29:01",9.275
"6B1","2016-06-03","15:29:01",10.161
"6B1","2016-06-03","21:29:01",10.357
"6B1","2016-06-04","03:29:01",9.472
"6B1","2016-06-04","09:29:01",9.176
"6B1","2016-06-04","15:29:01",9.669
"6B1","2016-06-04","21:29:01",9.571
"6B1","2016-06-05","03:29:01",8.879
"6B1","2016-06-05","09:29:01",8.581
"6B1","2016-06-05","15:29:01",9.373
"6B1","2016-06-05","21:29:01",9.866
"6B1","2016-06-06","03:29:01",8.68
"6B1","2016-06-06","09:29:01",8.282
"6B1","2016-06-06","15:29:01",9.472
"6B1","2016-06-06","21:29:01",10.161
"6B1","2016-06-07","03:29:01",9.176
"6B1","2016-06-07","09:29:01",8.879
"6B1","2016-06-07","15:29:01",10.063
"6B1","2016-06-07","21:29:01",10.259
"6B1","2016-06-08","03:29:01",9.373
"6B1","2016-06-08","09:29:01",8.879
"6B1","2016-06-08","15:29:01",9.472
"6B1","2016-06-08","21:29:01",9.768
"6B1","2016-06-09","03:29:01",8.978
"6B1","2016-06-09","09:29:01",8.581
"6B1","2016-06-09","15:29:01",8.879
"6B1","2016-06-09","21:29:01",8.978
"6B1","2016-06-10","03:29:01",8.182
"6B1","2016-06-10","09:29:01",7.983
"6B1","2016-06-10","15:29:01",8.779
"6B1","2016-06-10","21:29:01",8.978
"6B1","2016-06-11","03:29:01",8.082
"6B1","2016-06-11","09:29:01",7.682
"6B1","2016-06-11","15:29:01",8.68
"6B1","2016-06-11","21:29:01",9.472
"6B1","2016-06-12","03:29:01",8.481
"6B1","2016-06-12","09:29:01",8.082
"6B1","2016-06-12","15:29:01",9.275
"6B1","2016-06-12","21:29:01",9.866
"6B1","2016-06-13","03:29:01",8.879
"6B1","2016-06-13","09:29:01",8.581
"6B1","2016-06-13","15:29:01",9.571
"6B1","2016-06-13","21:29:01",9.965
"6B1","2016-06-14","03:29:01",9.077
"6B1","2016-06-14","09:29:01",8.68
"6B1","2016-06-14","15:29:01",9.472
"6B1","2016-06-14","21:29:01",10.063
"6B1","2016-06-15","03:29:01",8.978
"6B1","2016-06-15","09:29:01",8.779
"6B1","2016-06-15","15:29:01",10.161
"6B1","2016-06-15","21:29:01",10.651
"6B1","2016-06-16","03:29:01",10.063
"6B1","2016-06-16","09:29:01",9.866
"6B1","2016-06-16","15:29:01",11.041
"6B1","2016-06-16","21:29:01",11.334
"6B1","2016-06-17","03:29:01",10.651
"6B1","2016-06-17","09:29:01",10.161
"6B1","2016-06-17","15:29:01",10.944
"6B1","2016-06-17","21:29:01",10.944
