"Track.n." "Slice.n." "X" "Y" "Distance" "Velocity" "Pixel.Value" "Treat" "Replica" "was.disp" "ID" "time"
"237" 4 57 4074 3281 "0.000" 0 -4938388 1 1 0 1104 570
"238" 4 58 4074 3281 "0.000" 0 -4871055 1 1 0 1104 580
"239" 4 59 4074 3281 "0.000" 0 -4476297 1 1 0 1104 590
"240" 4 60 4074 3281 "0.000" 0 -4805262 1 1 0 1104 600
"241" 5 1 4582 3153 "-1.000" -1 -2041142 1 1 0 1105 10
"242" 5 2 4608 3200 "53.712" 5.371 -4213877 1 1 0 1105 20
"243" 5 3 4646 3238 "53.740" 5.374 -3289661 1 1 0 1105 30
"244" 5 4 4616 3234 "30.265" 3.027 -4611186 1 1 0 1105 40
"245" 5 5 4672 3204 "63.530" 6.353 -4544885 1 1 0 1105 50
"246" 5 6 4706 3217 "36.401" 3.64 -6385282 1 1 0 1105 60
"247" 5 7 4731 3204 "28.178" 2.818 -4611966 1 1 0 1105 70
"248" 5 8 4706 3208 "25.318" 2.532 -5142691 1 1 0 1105 80
"249" 5 9 4706 3208 "0.000" 0 -3618901 1 1 0 1105 90
"250" 5 10 4701 3208 "5.000" 0.5 -2041661 1 1 0 1105 100
"251" 5 11 4680 3204 "21.378" 2.138 -8228264 1 1 0 1105 110
"252" 5 12 4633 3217 "48.765" 4.876 -3751239 1 1 0 1105 120
"253" 5 13 4629 3204 "13.601" 1.36 -4740995 1 1 0 1105 130
"254" 5 14 4625 3200 "5.657" 0.566 -6121332 1 1 0 1105 140
"255" 5 15 4595 3268 "74.324" 7.432 -3816005 1 1 0 1105 150
"256" 5 16 4578 3289 "27.019" 2.702 -2240073 1 1 0 1105 160
"257" 5 17 4620 3276 "43.966" 4.397 -1447457 1 1 0 1105 170
"258" 5 18 4548 3281 "72.173" 7.217 -2765124 1 1 0 1105 180
"259" 5 19 4535 3276 "13.928" 1.393 -2108509 1 1 0 1105 190
"260" 5 20 4552 3255 "27.019" 2.702 -1909816 1 1 0 1105 200
"261" 5 21 4535 3285 "34.482" 3.448 -2040873 1 1 0 1105 210
"262" 5 22 4488 3315 "55.758" 5.576 -4738924 1 1 0 1105 220
