"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.483756,-2.501831,"152_2_1","elephants","HA",15.6,4,0.591064607026499
15.482336,-2.50236,"153_1_1","elephants","HA",11.3,2,0.752048447819439
15.483804,-2.501803,"153_2_1","elephants","HA",23.6,5,0.673941998634088
15.482381,-2.50238,"154_1_1","elephants","HA",10,3.4,0.468521082957745
15.483814,-2.50173,"154_2_1","elephants","HA",15.8,5.2,0.482653743319623
15.48247,-2.502348,"155_1_1","elephants","HA",17,4.6,0.5676910896967
15.483796,-2.501731,"155_2_1","elephants","HA",11,4.8,0.360151447782638
15.482548,-2.502317,"156_1_1","elephants","HA",10.9,4,0.435366506612661
15.483799,-2.50174,"156_2_1","elephants","HA",11,4.8,0.360151447782638
15.482727,-2.502373,"157_1_1","elephants","HA",9.5,2.3,0.615995769271255
15.483767,-2.501712,"157_2_1","elephants","HA",24.5,4.8,0.707924846988945
15.482801,-2.502302,"158_1_1","elephants","HA",11.6,6,0.286306738843275
15.483959,-2.501634,"158_2_1","elephants","HA",11.7,4.6,0.405428030064588
15.483093,-2.502308,"159_1_1","elephants","HA",12.4,3.4,0.56194276811998
15.483955,-2.501637,"159_2_1","elephants","HA",13,4.6,0.451185520625263
15.483033,-2.504863,"16_2_1","elephants","HA",9.1,3.8,0.379257795704283
15.482994,-2.502284,"160_1_1","elephants","HA",11.1,3.4,0.513844061744402
15.48392,-2.501519,"160_2_1","elephants","HA",13.5,3.2,0.6251837901751
15.4829,-2.502341,"161_1_1","elephants","HA",14,3.8,0.566344439061428
15.4839,-2.501481,"161_2_1","elephants","HA",13.9,3.2,0.637864821934189
15.48292,-2.502382,"162_1_1","elephants","HA",9.5,3.2,0.472573626968942
15.483766,-2.501365,"162_2_1","elephants","HA",15.4,4.4,0.544068044350276
15.482873,-2.502428,"163_1_1","elephants","HA",10.5,3.2,0.516039320750032
15.483744,-2.50137,"163_2_1","elephants","HA",13.2,4.4,0.477121254719662
15.482928,-2.502414,"164_1_1","elephants","HA",13.3,5.6,0.375663613960885
15.483798,-2.501237,"164_2_1","elephants","HA",17.2,4.2,0.612279156509648
15.483012,-2.502441,"165_1_1","elephants","HA",9.3,3.8,0.388699351937125
15.483978,-2.501113,"165_2_1","elephants","HA",10,3.4,0.468521082957745
15.483133,-2.502476,"166_1_1","elephants","HA",18,6,0.477121254719662
15.484022,-2.501117,"166_2_1","elephants","HA",12.3,2,0.788875115775417
15.483158,-2.502555,"167_1_1","elephants","HA",11.2,4.5,0.396005508894838
15.484045,-2.501107,"167_2_1","elephants","HA",11,2,0.740362689494244
15.48312,-2.502562,"168_1_1","elephants","HA",15.7,5.2,0.479896308774435
15.484065,-2.501136,"168_2_1","elephants","HA",15,4.4,0.532638582569494
15.48287,-2.502537,"169_1_1","elephants","HA",14.5,6,0.383216751851331
15.484013,-2.501347,"169_2_1","elephants","HA",13.2,3.4,0.589095014163595
15.483195,-2.504937,"17_2_1","elephants","HA",10,3.8,0.42021640338319
15.482874,-2.502626,"170_1_1","elephants","HA",18.6,6.6,0.449969008676048
15.483954,-2.501277,"170_2_1","elephants","HA",11.5,3.4,0.529218923311357
15.482659,-2.502439,"171_1_1","elephants","HA",11.5,4.8,0.379456602978024
15.484745,-2.501239,"171_2_1","elephants","HA",13.1,6,0.339120045272121
15.483567,-2.501935,"1713_3_1","elephants","HA",9.6,4.9,0.292075153011055
15.483545,-2.501894,"1714_3_1","elephants","HA",10.4,3.6,0.460730838531493
15.483689,-2.502098,"1715_3_1","elephants","HA",10.3,4.5,0.359624710929829
15.483791,-2.502034,"1716_3_1","elephants","HA",9.9,4.5,0.342422680822206
15.484019,-2.502011,"1717_3_1","elephants","HA",9.4,3.5,0.429059809249423
15.483829,-2.501772,"1718_3_1","elephants","HA",10,4,0.397940008672038
15.483783,-2.501265,"1719_3_1","elephants","HA",10.3,4.6,0.350079393023598
15.482641,-2.502443,"172_1_1","elephants","HA",15.4,6.8,0.355011808130227
15.484837,-2.501222,"172_2_1","elephants","HA",14.6,3.6,0.60805035501715
15.483918,-2.501355,"1720_3_1","elephants","HA",12.7,4,0.501743729627994
15.483982,-2.501093,"1721_3_1","elephants","HA",9.5,3.5,0.433655560938572
15.484059,-2.501129,"1722_3_1","elephants","HA",17,3.6,0.674146420610987
15.48432,-2.501169,"1723_3_1","elephants","HA",9.6,3.2,0.477121254719662
15.48445,-2.501362,"1724_3_1","elephants","HA",10.2,3.1,0.517238477927645
15.484486,-2.501385,"1725_3_1","elephants","HA",10.1,4.5,0.351108860007299
15.484454,-2.501538,"1726_3_1","elephants","HA",10.5,3.1,0.529827605235665
15.48438,-2.501546,"1727_3_1","elephants","HA",10,3.1,0.508638306165727
15.484388,-2.501578,"1728_3_1","elephants","HA",9.9,3.2,0.490485216277644
15.484269,-2.501503,"1729_3_1","elephants","HA",9.8,3.1,0.499864381858222
15.482649,-2.502423,"173_1_1","elephants","HA",9.2,4.8,0.282546589969968
15.484923,-2.501266,"173_2_1","elephants","HA",14.1,3.4,0.617740195613125
15.484322,-2.501643,"1730_3_1","elephants","HA",10.3,3.1,0.5214755308709
15.484317,-2.501812,"1731_3_1","elephants","HA",11,3.1,0.550030991323952
15.484252,-2.501928,"1732_3_1","elephants","HA",10,4,0.397940008672038
15.484524,-2.502014,"1733_3_1","elephants","HA",9.6,4,0.380211241711606
